Average for Cores
Type Number 1
5,4.838399999999996E-5
10,1.00225E-4
15,1.8992222222222226E-4
20,2.430666666666667E-4
25,NaN
30,NaN
Type Number 2
5,0.03646687777777778
10,0.04280118888888888
15,0.046819141666666654
20,0.04798626666666665
25,NaN
30,NaN
Type Number 3
5,1.6240000000000014E-5
10,1.998000000000001E-4
15,6.610324324324329E-4
20,0.0013943567567567571
25,NaN
30,NaN
Average for Loops
Type Number 1
0,0.0019123125
1,8.093749999999998E-5
2,8.15625E-5
3,7.774999999999999E-5
4,7.568749999999999E-5
5,7.366666666666668E-5
6,7.693333333333332E-5
7,7.879999999999999E-5
8,7.726666666666667E-5
9,7.773333333333334E-5
10,8.073333333333334E-5
11,7.88E-5
12,7.846666666666667E-5
13,7.826666666666667E-5
14,7.786666666666667E-5
15,7.606666666666667E-5
16,7.433333333333333E-5
17,7.526666666666665E-5
18,7.793333333333333E-5
19,7.560000000000001E-5
20,7.573333333333332E-5
21,7.539999999999999E-5
22,7.54E-5
23,7.506666666666667E-5
24,7.966666666666669E-5
25,7.68E-5
26,7.493333333333333E-5
27,7.346666666666666E-5
28,7.406666666666667E-5
29,7.4E-5
30,NaN
Type Number 2
0,NaN
1,0.007854769230769231
2,0.004812
3,0.004029615384615385
4,0.06745115384615384
5,0.08339246153846153
6,0.06320869230769231
7,0.027275307692307696
8,0.09268676923076925
9,0.07117069230769231
10,0.05870446153846154
11,0.0757163076923077
12,0.023093
13,0.034762461538461534
14,0.05685815384615384
15,0.0047126153846153845
16,1.7161538461538461E-4
17,0.015169846153846155
18,0.0825573076923077
19,0.014145692307692307
20,0.06700769230769231
21,0.06191107692307692
22,0.06390846153846154
23,0.04333915384615384
24,0.021155692307692302
25,0.04668923076923077
26,0.026480615384615384
27,0.008087076923076923
28,0.05734546153846155
29,0.0837550769230769
30,0.045715769230769226
Type Number 3
0,0.012405071428571427
1,2.289285714285715E-4
2,1.6685714285714288E-4
3,1.6089285714285712E-4
4,1.660714285714286E-4
5,1.4481481481481485E-4
6,1.4185185185185183E-4
7,1.460740740740741E-4
8,1.4674074074074074E-4
9,1.4800000000000002E-4
10,1.4859259259259263E-4
11,1.5011111111111112E-4
12,1.5162962962962962E-4
13,1.4507407407407408E-4
14,1.475185185185185E-4
15,1.5514814814814818E-4
16,1.443333333333333E-4
17,1.4614814814814815E-4
18,1.4262962962962962E-4
19,1.5303703703703706E-4
20,1.5381481481481482E-4
21,1.4459259259259262E-4
22,1.4451851851851851E-4
23,1.5155555555555552E-4
24,1.8144444444444444E-4
25,1.8216666666666663E-4
26,1.8066666666666665E-4
27,1.7733333333333335E-4
28,1.7766666666666666E-4
29,2.4383333333333332E-4
30,NaN
